task,mode,agent,steps,total_reward,oracle_score,coverage,success,partial_success,compromise_detected,phase,failure_reason,counterfactual_gain_diff,counterfactual_reward,efficiency_reward,regret,regret_penalty,had_checkpoints,phase_gating_violations,total_noisy_observations,noise_rate,matched_trajectory,valid_path_count,trajectory_diversity_bonus,path_frequency,contextual_bonus_scale
easy,noisy,heuristic,6,10.625760908704033,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7653680373355348,0.03826840186677674,1,0,3,0.5,alternative_2,4,0.0046319626644652475,0.675,0.1852785065786099
easy,adversarial,heuristic,16,1.1322137230103562,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21692588698144766,-0.010846294349072383,1,0,0,0.0,alternative_2,4,0.004546450869458587,0.6790123456790124,0.18185803477834347
easy,adversarial,heuristic,16,1.1321266646656993,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21684297427225074,-0.010842148713612538,1,0,0,0.0,alternative_2,4,0.004463538160261675,0.6829268292682927,0.178541526410467
easy,adversarial,heuristic,16,1.1320422206298952,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21676255138100867,-0.010838127569050435,1,0,0,0.0,alternative_2,4,0.004383115269019601,0.6867469879518072,0.17532461076078404
easy,adversarial,heuristic,16,1.1319602822995711,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21668451487593812,-0.010834225743796907,1,0,0,0.0,alternative_2,4,0.004305078763949065,0.6904761904761905,0.1722031505579626
easy,adversarial,heuristic,16,1.1318807468038985,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21660876678482122,-0.010830438339241062,1,0,0,0.0,alternative_2,4,0.004229330672832141,0.6941176470588235,0.16917322691328562
easy,adversarial,heuristic,16,1.131803516639052,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21653521424687222,-0.010826760712343612,1,0,0,0.0,alternative_2,4,0.004155778134883169,0.6976744186046512,0.16623112539532672
easy,adversarial,heuristic,16,1.1317284993299022,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21646376919053903,-0.010823188459526952,1,0,0,0.0,alternative_2,4,0.004084333078549967,0.7011494252873564,0.16337332314199865
easy,adversarial,heuristic,16,1.1316556071166224,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21639434803503446,-0.010819717401751723,1,0,0,0.0,alternative_2,4,0.004014911923045406,0.7045454545454546,0.16059647692181625
easy,adversarial,heuristic,16,1.1315847566641208,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21632687141360438,-0.01081634357068022,1,0,0,0.0,alternative_2,4,0.003947435301615303,0.7078651685393258,0.1578974120646121
easy,adversarial,heuristic,16,1.1315158687923978,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2162612639167254,-0.01081306319583627,1,0,0,0.0,alternative_2,4,0.0038818278047363384,0.7111111111111111,0.15527311218945353
easy,adversarial,heuristic,16,1.131448868226111,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21619745385359512,-0.010809872692679757,1,0,0,0.0,alternative_2,4,0.003818017741606063,0.7142857142857143,0.1527207096642425
easy,adversarial,heuristic,16,1.1313836833617843,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21613537303042685,-0.010806768651521343,1,0,0,0.0,alternative_2,4,0.003755936918437791,0.717391304347826,0.15023747673751164
easy,adversarial,heuristic,16,1.131320246051244,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.216074956544198,-0.0108037478272099,1,0,0,0.0,alternative_2,4,0.00369552043220893,0.7204301075268817,0.1478208172883572
easy,adversarial,heuristic,16,1.1312584913999895,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2160161425906221,-0.010800807129531105,1,0,0,0.0,alternative_2,4,0.003636706478633036,0.723404255319149,0.14546825914532144
easy,adversarial,heuristic,16,1.131198357579322,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21595887228522473,-0.010797943614261236,1,0,0,0.0,alternative_2,4,0.0035794361732356624,0.7263157894736842,0.1431774469294265
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,improved,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
